municipio_norm,municipio_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
SANTA VITORIA DO PALMAR,Santa Vitória do Palmar,Pelotas,Pelotas,Sudeste Rio-grandense
SANTIAGO,Santiago,Santa Maria,Santiago,Centro Ocidental Rio-grandense
SANTO ANGELO,Santo Ângelo,Ijuí,Santo Ângelo,Noroeste Rio-grandense
SANTO ANTONIO DO PALMA,Santo Antônio do Palma,Passo Fundo,Marau,Noroeste Rio-grandense
SANTO ANTONIO DA PATRULHA,Santo Antônio da Patrulha,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
SANTO ANTONIO DAS MISSOES,Santo Antônio das Missões,Ijuí,São Luiz Gonzaga,Noroeste Rio-grandense
SANTO ANTONIO DO PLANALTO,Santo Antônio do Planalto,Passo Fundo,Carazinho,Noroeste Rio-grandense
SANTO AUGUSTO,Santo Augusto,Ijuí,Ijuí,Noroeste Rio-grandense
SANTO CRISTO,Santo Cristo,Ijuí,Santa Rosa,Noroeste Rio-grandense
SANTO EXPEDITO DO SUL,Santo Expedito do Sul,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
SAO BORJA,São Borja,Uruguaiana,São Borja,Sudoeste Rio-grandense
SAO DOMINGOS DO SUL,São Domingos do Sul,Passo Fundo,Marau,Noroeste Rio-grandense
SAO FRANCISCO DE ASSIS,São Francisco de Assis,Santa Maria,Santa Maria,Sudoeste Rio-grandense
SAO FRANCISCO DE PAULA,São Francisco de Paula,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
SAO GABRIEL,São Gabriel,Santa Maria,São Gabriel - Caçapava do Sul,Sudoeste Rio-grandense
SAO JERONIMO,São Jerônimo,Porto Alegre,Charqueadas - Triunfo - São Jerônimo,Metropolitana de Porto Alegre
SAO JOAO DA URTIGA,São João da Urtiga,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
SAO JOAO DO POLESINE,São João do Polêsine,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
SAO JORGE,São Jorge,Caxias do Sul,Nova Prata - Guaporé,Nordeste Rio-grandense
SAO JOSE DAS MISSOES,São José das Missões,Passo Fundo,Palmeira das Missões,Noroeste Rio-grandense
SAO JOSE DO HERVAL,São José do Herval,Passo Fundo,Soledade,Noroeste Rio-grandense
SAO JOSE DO HORTENCIO,São José do Hortêncio,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
SAO JOSE DO INHACORA,São José do Inhacorá,Ijuí,Três de Maio,Noroeste Rio-grandense
SAO JOSE DO NORTE,São José do Norte,Pelotas,Pelotas,Sudeste Rio-grandense
SAO JOSE DO OURO,São José do Ouro,Passo Fundo,Lagoa Vermelha,Noroeste Rio-grandense
SAO JOSE DO SUL,São José do Sul,Porto Alegre,Montenegro,Metropolitana de Porto Alegre
